config_id,lrc_pct,orc_pct,alpha,ARI_mean,ARI_std,NMI_mean,NMI_std,Runtime_mean,Runtime_std,V_mean,E_mean,Removed_LRC_mean,Removed_ORC_mean,n_runs
26,36.0,42.0,0.49482967791705623,0.627698853405781,0.05915396258669073,0.661904103342605,0.04515013114103121,3.0712546825408937,0.06766720500712213,335.6,1410.8,1462.6,1089.4,5
27,86.0,47.0,0.6756392228496231,0.005472775698759223,0.0639452791296037,0.09750077871759846,0.06201138956228215,0.5223552227020264,0.008513742762765241,18.2,30.6,3488.8,266.0,5
28,80.0,58.0,0.4162706429924663,0.03439362468103003,0.07728856390133997,0.21068191882787107,0.12655463268620634,0.7702414512634277,0.04285555999443664,17.8,35.8,3246.0,469.6,5
29,80.0,0.0,0.7940310607755042,0.5212534218172403,0.09437922085256786,0.5461615060408613,0.06192921019898453,0.7658773899078369,0.01782532806289961,339.4,809.6,3246.0,0.0,5
30,88.0,52.0,0.32654466381127,-0.03713961188042243,0.056668417532547206,0.042098293150908,0.06612663019815397,0.45970458984375,0.012165621783598696,14.2,22.0,3570.8,249.0,5
31,73.0,50.0,0.09344593349461805,0.04213152683970163,0.03432174252661075,0.1889085696667046,0.0772698532866061,1.0717979431152345,0.02939941985010001,85.0,168.4,2961.8,547.4,5
32,17.0,91.0,0.9897361675845034,0.231662107072709,0.14336206705623547,0.44319737509971785,0.19347228276063116,4.438418865203857,0.3917573245823979,141.6,210.8,692.8,3060.4,5
33,35.0,5.0,0.3582312185913814,0.6824331437042758,0.13417298883746606,0.6741052452238099,0.09577136284848309,3.0912347793579102,0.09878263609902532,360.0,2502.0,1422.2,132.2,5
34,70.0,73.0,0.3142381312178827,-0.015953969352765864,0.0461667234950199,0.06524640145145813,0.08538980570830813,1.2066062450408936,0.02997750442188897,23.6,41.2,2840.4,887.2,5
35,38.0,57.0,0.4165709623150299,0.3484214869805403,0.12584967556805243,0.48974136181863176,0.08012494398919032,2.911234998703003,0.06950420822900644,211.2,608.6,1545.2,1431.4,5
36,19.0,78.0,0.9584644009640338,0.5156861911512362,0.0924087214946465,0.6147461799711655,0.056034916445436324,4.728776741027832,0.06363389602319848,305.8,718.8,773.8,2560.0,5
37,95.0,89.0,0.6209354652000495,0.8,0.4472135954999579,0.8,0.4472135954999579,0.22263460159301757,0.0207541017087604,2.8,1.8,3854.0,80.2,5
38,30.0,16.0,0.9470620833116628,0.7130099422666732,0.04491068327342399,0.7029545225952202,0.0326569673381148,3.6889025211334228,0.10730134356167767,359.8,2381.0,1221.6,453.8,5
39,27.0,2.0,0.29770945642086144,0.6514887741811325,0.2471412334983054,0.6374406839834925,0.23644257907208452,3.6232619285583496,0.10772140704972838,360.0,2899.4,1097.4,59.6,5
40,98.0,28.0,0.6718259817227047,0.8,0.4472135954999579,0.8,0.4472135954999579,0.1714627265930176,0.00404910648855545,4.2,3.4,3974.8,2.8,5
41,6.0,49.0,0.09288854875744723,0.6618508904761533,0.18057156836713428,0.6669374097291387,0.1601521018767571,4.847664546966553,0.1229770886735898,319.2,1761.0,245.0,1867.6,5
42,36.0,1.0,0.6043157467736379,0.6557986814706547,0.09147904902217892,0.6551938501743868,0.06569497017017886,3.398970031738281,0.2025989188540597,360.0,2567.4,1462.6,26.4,5
43,94.0,49.0,0.6013821213404011,0.013675213675213672,0.13427238896858448,0.17776748500609307,0.18960673193241204,0.3109616279602051,0.07132517541315483,6.0,6.6,3813.2,86.2,5
44,47.0,56.0,0.89045910829968,0.5243933641307453,0.09671012109994834,0.6144713805163177,0.05763595250587179,2.712701416015625,0.13272747913006416,313.0,879.2,1909.0,1202.6,5
45,30.0,92.0,0.188257161102365,0.0038338023148423196,0.008572642588283478,0.02756582585755459,0.06163906047341349,3.301893424987793,0.13298069930278203,67.2,114.2,1221.6,2607.6,5
46,25.0,95.0,0.7877266263227836,0.007947073136399283,0.01777019575515126,0.034846060574802495,0.07791816019333377,4.709449625015258,0.16755947057804418,32.0,38.0,1016.4,2887.6,5
47,58.0,64.0,0.6596072674909493,0.15188526255204152,0.11314592839534511,0.3429240478595023,0.17512620389549918,1.7983620166778564,0.044377248555879656,124.4,280.0,2356.4,1087.8,5
48,7.0,55.0,0.9172632996428407,0.5753740009627955,0.07207395613882392,0.6240655751984705,0.053944625613513125,7.430970907211304,0.2358511196691651,349.8,1696.6,285.4,2074.4,5
49,99.0,23.0,0.5993159922695809,1.0,0.0,1.0,0.0,0.18612974882125854,0.024857424323831298,2.75,2.0,4024.0,1.75,4
