config_id,seed,lrc_pct,orc_pct,alpha,ARI,NMI,Runtime,V,E,removed_lrc,removed_orc,status,error
16,1,96.0,80.0,0.606709676684979,1.0,1.0,0.1765127182006836,2.0,1.0,3936.0,17.0,ok,
16,2,96.0,80.0,0.606709676684979,1.0,1.0,0.20077085494995117,3.0,2.0,3854.0,41.0,ok,
16,3,96.0,80.0,0.606709676684979,1.0,1.0,0.2782120704650879,3.0,2.0,3862.0,65.0,ok,
16,4,96.0,80.0,0.606709676684979,1.0,1.0,0.17528820037841797,2.0,1.0,3866.0,18.0,ok,
16,5,96.0,80.0,0.606709676684979,1.0,1.0,0.1978158950805664,2.0,1.0,3951.0,31.0,ok,
17,1,20.0,34.0,0.9468197909796484,0.7209097530360637,0.6872934424405388,4.623048782348633,360.0,2165.0,820.0,1115.0,ok,
17,2,20.0,34.0,0.9468197909796484,0.695445730343754,0.6948098894452285,4.648505687713623,355.0,2119.0,804.0,1092.0,ok,
17,3,20.0,34.0,0.9468197909796484,0.5575588578979151,0.6105031224944911,4.505239009857178,354.0,2123.0,805.0,1094.0,ok,
17,4,20.0,34.0,0.9468197909796484,0.6703292409041349,0.6965446594501464,4.616756916046143,355.0,2126.0,806.0,1096.0,ok,
17,5,20.0,34.0,0.9468197909796484,0.6599716098234898,0.6857454328733118,4.707258701324463,355.0,2173.0,824.0,1119.0,ok,
18,1,80.0,56.0,0.43276273961995204,0.03821915023378736,0.16034230696204133,0.7730922698974609,19.0,45.0,3283.0,457.0,ok,
18,2,80.0,56.0,0.43276273961995204,0.0,0.0,0.7899539470672607,14.0,25.0,3212.0,449.0,ok,
18,3,80.0,56.0,0.43276273961995204,0.05612552806276403,0.20608872959295224,0.7190310955047607,24.0,50.0,3219.0,450.0,ok,
18,4,80.0,56.0,0.43276273961995204,0.0,0.0,0.8375210762023926,18.0,22.0,3223.0,451.0,ok,
18,5,80.0,56.0,0.43276273961995204,-0.04260960136350724,0.12414007259609769,0.7492671012878418,22.0,38.0,3293.0,460.0,ok,
19,1,42.0,90.0,0.3193418039018624,0.0,0.0,2.6263842582702637,28.0,30.0,1724.0,2138.0,ok,
19,2,42.0,90.0,0.3193418039018624,0.0,0.0,2.4734768867492676,56.0,76.0,1689.0,2093.0,ok,
19,3,42.0,90.0,0.3193418039018624,-0.0024008350730688934,0.026166831237930788,2.378448009490967,66.0,102.0,1701.0,2089.0,ok,
19,4,42.0,90.0,0.3193418039018624,-0.004473294766581461,0.02335378311545342,2.4173059463500977,66.0,84.0,1693.0,2101.0,ok,
19,5,42.0,90.0,0.3193418039018624,0.0025712809544979395,0.03567785685865644,2.504117012023926,59.0,90.0,1730.0,2147.0,ok,
20,1,41.0,70.0,0.3138203272623701,0.05324596875063848,0.18861782150988934,2.706827163696289,95.0,292.0,1681.0,1693.0,ok,
20,2,41.0,70.0,0.3138203272623701,0.0021698999255108983,0.02616472064410393,2.4978370666503906,79.0,285.0,1663.0,1646.0,ok,
20,3,41.0,70.0,0.3138203272623701,0.1288865736557684,0.3060840005606757,2.4514029026031494,160.0,342.0,1651.0,1660.0,ok,
20,4,41.0,70.0,0.3138203272623701,0.016260513403874882,0.08939057884826623,2.5063371658325195,89.0,321.0,1655.0,1661.0,ok,
20,5,41.0,70.0,0.3138203272623701,0.2560423464267689,0.41958088193552634,2.5308852195739746,136.0,280.0,1688.0,1699.0,ok,
21,1,7.0,26.0,0.7008408895008554,0.7651338966677974,0.7273016081270447,7.888347864151001,360.0,2821.0,288.0,991.0,ok,
21,2,7.0,26.0,0.7008408895008554,0.8073892750677171,0.7912831334189412,7.909497976303101,360.0,2763.0,281.0,971.0,ok,
21,3,7.0,26.0,0.7008408895008554,0.7955166460237785,0.7808734380900045,7.878962278366089,360.0,2768.0,282.0,973.0,ok,
21,4,7.0,26.0,0.7008408895008554,0.8409847531284541,0.8132306954805938,8.206120014190674,360.0,2770.0,285.0,973.0,ok,
21,5,7.0,26.0,0.7008408895008554,0.7801840138409104,0.7586907526029771,8.427081823348999,360.0,2830.0,291.0,995.0,ok,
22,1,43.0,23.0,0.4931103229848808,0.6654011768434003,0.6610251381964763,2.6706531047821045,359.0,1799.0,1763.0,538.0,ok,
22,2,43.0,23.0,0.4931103229848808,0.7781763602043582,0.7356989200209766,2.5278940200805664,360.0,1761.0,1728.0,526.0,ok,
22,3,43.0,23.0,0.4931103229848808,0.6130525172783677,0.6607438408573285,2.493597984313965,355.0,1762.0,1733.0,527.0,ok,
22,4,43.0,23.0,0.4931103229848808,0.5646158873421003,0.569830601241436,2.5735318660736084,263.0,1257.0,1733.0,528.0,ok,
22,5,43.0,23.0,0.4931103229848808,0.6618666985850813,0.6560379711043337,2.589202880859375,360.0,1803.0,1774.0,539.0,ok,
23,1,47.0,58.0,0.18890636475445843,0.24646442504521454,0.4416246548090164,2.240518808364868,179.0,404.0,1934.0,1256.0,ok,
23,2,47.0,58.0,0.18890636475445843,0.20100990789179068,0.38832566551458286,2.1620731353759766,140.0,259.0,1890.0,1232.0,ok,
23,3,47.0,58.0,0.18890636475445843,0.18875210280032564,0.3811508652397979,2.088810920715332,230.0,526.0,1893.0,1235.0,ok,
23,4,47.0,58.0,0.18890636475445843,0.3360017639785377,0.5310092647455422,2.122786045074463,236.0,520.0,1893.0,1238.0,ok,
23,5,47.0,58.0,0.18890636475445843,0.0340501914206066,0.19643222943265073,2.1934311389923096,105.0,265.0,1935.0,1265.0,ok,
24,1,15.0,73.0,0.5484830646246303,0.6570983623502195,0.7127206199142805,5.626424074172974,330.0,932.0,616.0,2543.0,ok,
24,2,15.0,73.0,0.5484830646246303,0.3671179869625893,0.4841466194366088,5.477046012878418,141.0,335.0,606.0,2488.0,ok,
24,3,15.0,73.0,0.5484830646246303,0.26948885475077816,0.4733187752584284,5.421194076538086,232.0,584.0,608.0,2493.0,ok,
24,4,15.0,73.0,0.5484830646246303,0.23564199328612742,0.35748745195094295,5.675367832183838,162.0,481.0,606.0,2498.0,ok,
24,5,15.0,73.0,0.5484830646246303,0.6089729579551045,0.6829302478484152,5.8487160205841064,331.0,943.0,618.0,2553.0,ok,
25,1,45.0,62.0,0.3721443167968299,0.18221036023712428,0.4006830823592765,2.423666000366211,181.0,382.0,1846.0,1397.0,ok,
25,2,45.0,62.0,0.3721443167968299,0.16885236996168113,0.39218640833851887,2.288590669631958,136.0,239.0,1808.0,1368.0,ok,
25,3,45.0,62.0,0.3721443167968299,0.4133216210955886,0.5523332308008988,2.2793400287628174,304.0,812.0,1817.0,1368.0,ok,
25,4,45.0,62.0,0.3721443167968299,0.14347575817801567,0.3517109241393096,2.311501979827881,152.0,312.0,1820.0,1369.0,ok,
25,5,45.0,62.0,0.3721443167968299,0.2899665435987542,0.5213766906193614,2.3570950031280518,192.0,452.0,1863.0,1397.0,ok,
26,1,36.0,42.0,0.49482967791705623,0.6615540275056505,0.662899664799693,3.1485278606414795,356.0,1517.0,1480.0,1100.0,ok,
26,2,36.0,42.0,0.49482967791705623,0.6844080167700304,0.7128148613708596,3.0528218746185303,355.0,1489.0,1446.0,1079.0,ok,
26,3,36.0,42.0,0.49482967791705623,0.575027307731338,0.6497785302925477,2.9667739868164062,352.0,1490.0,1450.0,1081.0,ok,
26,4,36.0,42.0,0.49482967791705623,0.5533338704778815,0.593935889453212,3.098909854888916,260.0,1037.0,1451.0,1082.0,ok,
26,5,36.0,42.0,0.49482967791705623,0.6641710445440046,0.6900915707967127,3.0892398357391357,355.0,1521.0,1486.0,1105.0,ok,
27,1,86.0,47.0,0.6756392228496231,-0.02344139650872818,0.09768191011263423,0.5245962142944336,20.0,32.0,3527.0,269.0,ok,
27,2,86.0,47.0,0.6756392228496231,-0.08247422680412371,0.12015942728002968,0.5099940299987793,12.0,23.0,3453.0,264.0,ok,
27,3,86.0,47.0,0.6756392228496231,0.0,0.0,0.5331299304962158,26.0,45.0,3459.0,264.0,ok,
27,4,86.0,47.0,0.6756392228496231,0.0783132530120482,0.09895183858104026,0.519216775894165,18.0,25.0,3465.0,263.0,ok,
27,5,86.0,47.0,0.6756392228496231,0.054966248794599805,0.17071071761428816,0.5248391628265381,15.0,28.0,3540.0,270.0,ok,
28,1,80.0,58.0,0.4162706429924663,0.0030864197530864196,0.14236645631366984,0.7623481750488281,18.0,43.0,3283.0,473.0,ok,
28,2,80.0,58.0,0.4162706429924663,0.1095890410958904,0.36953859714258547,0.8248260021209717,13.0,26.0,3212.0,465.0,ok,
28,3,80.0,58.0,0.4162706429924663,0.1214220230212896,0.26423100327946364,0.7123310565948486,24.0,46.0,3219.0,466.0,ok,
28,4,80.0,58.0,0.4162706429924663,-0.0546875,0.03637890398062976,0.7969231605529785,15.0,32.0,3223.0,467.0,ok,
28,5,80.0,58.0,0.4162706429924663,-0.0074418604651162795,0.24089463342300657,0.7547788619995117,19.0,32.0,3293.0,477.0,ok,
29,1,80.0,0.0,0.7940310607755042,0.4632710031303823,0.5260621538144241,0.7709839344024658,338.0,816.0,3283.0,0.0,ok,
29,2,80.0,0.0,0.7940310607755042,0.5933703937786237,0.5955664609951915,0.7912130355834961,338.0,802.0,3212.0,0.0,ok,
29,3,80.0,0.0,0.7940310607755042,0.39606529904049037,0.46475185203603786,0.7424499988555908,341.0,803.0,3219.0,0.0,ok,
29,4,80.0,0.0,0.7940310607755042,0.6279095379708595,0.6197063044168636,0.7662138938903809,341.0,805.0,3223.0,0.0,ok,
29,5,80.0,0.0,0.7940310607755042,0.5256508751658459,0.5247207589417894,0.758526086807251,339.0,822.0,3293.0,0.0,ok,
30,1,88.0,52.0,0.32654466381127,0.0,0.0,0.45365285873413086,12.0,15.0,3608.0,254.0,ok,
30,2,88.0,52.0,0.32654466381127,-0.057492931196983975,0.05942582596550713,0.45478129386901855,12.0,21.0,3535.0,249.0,ok,
30,3,88.0,52.0,0.32654466381127,0.0,0.0,0.4721109867095947,25.0,36.0,3542.0,244.0,ok,
30,4,88.0,52.0,0.32654466381127,0.0,0.0,0.4727039337158203,10.0,14.0,3546.0,245.0,ok,
30,5,88.0,52.0,0.32654466381127,-0.1282051282051282,0.15106563978903287,0.44527387619018555,12.0,24.0,3623.0,253.0,ok,
31,1,73.0,50.0,0.09344593349461805,0.07658829606559286,0.30038186167607484,1.0883688926696777,100.0,206.0,2994.0,553.0,ok,
31,2,73.0,50.0,0.09344593349461805,0.024483400482636832,0.13144457066276208,1.0812039375305176,82.0,146.0,2931.0,542.0,ok,
31,3,73.0,50.0,0.09344593349461805,-0.00905038726105514,0.10540432574302903,1.0204520225524902,86.0,162.0,2938.0,543.0,ok,
31,4,73.0,50.0,0.09344593349461805,0.06051263142584243,0.18434050634608615,1.0927298069000244,72.0,156.0,2942.0,543.0,ok,
31,5,73.0,50.0,0.09344593349461805,0.05812369348549114,0.22297158390557092,1.076235055923462,85.0,172.0,3004.0,556.0,ok,
32,1,17.0,91.0,0.9897361675845034,0.01602009453893528,0.1411166081220678,4.069076776504517,76.0,129.0,698.0,3095.0,ok,
32,2,17.0,91.0,0.9897361675845034,0.3381656001080469,0.581462943104889,5.104438781738281,117.0,163.0,686.0,3029.0,ok,
32,3,17.0,91.0,0.9897361675845034,0.15243537945135438,0.3564429600649025,4.3123459815979,118.0,193.0,689.0,3034.0,ok,
32,4,17.0,91.0,0.9897361675845034,0.3390479490539507,0.58326469631654,4.394659757614136,189.0,279.0,691.0,3036.0,ok,
32,5,17.0,91.0,0.9897361675845034,0.3126415122112577,0.5536996678901898,4.311573028564453,208.0,290.0,700.0,3108.0,ok,
33,1,35.0,5.0,0.3582312185913814,0.8033044271747977,0.7648658815375227,3.155143976211548,360.0,2529.0,1437.0,134.0,ok,
33,2,35.0,5.0,0.3582312185913814,0.8150335428527824,0.7702773825253623,3.062269926071167,360.0,2470.0,1414.0,131.0,ok,
33,3,35.0,5.0,0.3582312185913814,0.4960567769766578,0.5470244859203209,2.9324920177459717,360.0,2484.0,1408.0,131.0,ok,
33,4,35.0,5.0,0.3582312185913814,0.6112703961648384,0.6190655816588613,3.1281700134277344,360.0,2486.0,1411.0,131.0,ok,
33,5,35.0,5.0,0.3582312185913814,0.6865005753523027,0.6692928944769823,3.17809796333313,360.0,2541.0,1441.0,134.0,ok,
34,1,70.0,73.0,0.3142381312178827,-0.04701432045393137,0.008345742276663288,1.2222309112548828,25.0,54.0,2871.0,897.0,ok,
34,2,70.0,73.0,0.3142381312178827,0.03368794326241135,0.19260224637916898,1.2065672874450684,31.0,56.0,2810.0,879.0,ok,
34,3,70.0,73.0,0.3142381312178827,0.012851684612712747,0.11478518145451527,1.1548490524291992,29.0,42.0,2817.0,880.0,ok,
34,4,70.0,73.0,0.3142381312178827,-0.07929515418502203,0.010498837146943052,1.2276480197906494,15.0,33.0,2823.0,879.0,ok,
34,5,70.0,73.0,0.3142381312178827,0.0,0.0,1.221735954284668,18.0,21.0,2881.0,901.0,ok,
35,1,38.0,57.0,0.4165709623150299,0.5612921731658239,0.6218635423012994,2.9379630088806152,354.0,1088.0,1563.0,1446.0,ok,
35,2,38.0,57.0,0.4165709623150299,0.23698308202730184,0.42102359045395266,2.8233349323272705,149.0,387.0,1528.0,1418.0,ok,
35,3,38.0,57.0,0.4165709623150299,0.30101586139347175,0.45574176222367907,2.8755788803100586,233.0,683.0,1532.0,1420.0,ok,
35,4,38.0,57.0,0.4165709623150299,0.3523385902044259,0.505968956540629,3.0092642307281494,145.0,365.0,1537.0,1420.0,ok,
35,5,38.0,57.0,0.4165709623150299,0.29047772811167816,0.4441089575735984,2.910033941268921,175.0,520.0,1566.0,1453.0,ok,
36,1,19.0,78.0,0.9584644009640338,0.5048128654512761,0.6102398175639943,4.770224094390869,307.0,726.0,780.0,2589.0,ok,
36,2,19.0,78.0,0.9584644009640338,0.6067976527212905,0.6674676663333351,4.62893009185791,312.0,712.0,768.0,2532.0,ok,
36,3,19.0,78.0,0.9584644009640338,0.374836548761251,0.5247151559815921,4.738207817077637,298.0,710.0,765.0,2541.0,ok,
36,4,19.0,78.0,0.9584644009640338,0.5910611160765205,0.6554014714467987,4.713123798370361,298.0,713.0,774.0,2538.0,ok,
36,5,19.0,78.0,0.9584644009640338,0.5009227727458426,0.6159067885301072,4.793397903442383,314.0,733.0,782.0,2600.0,ok,
37,1,95.0,89.0,0.6209354652000495,1.0,1.0,0.2035682201385498,3.0,2.0,3895.0,66.0,ok,
37,2,95.0,89.0,0.6209354652000495,1.0,1.0,0.20598077774047852,3.0,2.0,3814.0,90.0,ok,
37,3,95.0,89.0,0.6209354652000495,1.0,1.0,0.23720979690551758,3.0,2.0,3822.0,101.0,ok,
37,4,95.0,89.0,0.6209354652000495,1.0,1.0,0.21523404121398926,2.0,1.0,3827.0,58.0,ok,
37,5,95.0,89.0,0.6209354652000495,0.0,0.0,0.25118017196655273,3.0,2.0,3912.0,86.0,ok,
38,1,30.0,16.0,0.9470620833116628,0.7277986500394086,0.6984328973840656,3.784700870513916,360.0,2408.0,1233.0,459.0,ok,
38,2,30.0,16.0,0.9470620833116628,0.7699629884038328,0.7527660352740202,3.786963939666748,359.0,2358.0,1208.0,449.0,ok,
38,3,30.0,16.0,0.9470620833116628,0.6691374696283445,0.6857858425851506,3.5960259437561035,360.0,2362.0,1211.0,450.0,ok,
38,4,30.0,16.0,0.9470620833116628,0.6652198716989228,0.6657194345650911,3.556142807006836,360.0,2360.0,1218.0,450.0,ok,
38,5,30.0,16.0,0.9470620833116628,0.7329307315628574,0.7120684031677734,3.7206790447235107,360.0,2417.0,1238.0,461.0,ok,
39,1,27.0,2.0,0.29770945642086144,0.7328325055474355,0.6984924046378506,3.648736000061035,360.0,2932.0,1108.0,60.0,ok,
39,2,27.0,2.0,0.29770945642086144,0.837488237327036,0.8043171018751443,3.6273629665374756,360.0,2872.0,1084.0,59.0,ok,
39,3,27.0,2.0,0.29770945642086144,0.735779138873031,0.7374345610789853,3.4558680057525635,360.0,2876.0,1088.0,59.0,ok,
39,4,27.0,2.0,0.29770945642086144,0.21665982430716832,0.22022079505287045,3.6280148029327393,360.0,2874.0,1095.0,59.0,ok,
39,5,27.0,2.0,0.29770945642086144,0.7346841648509915,0.7267385572726125,3.7563278675079346,360.0,2943.0,1112.0,61.0,ok,
40,1,98.0,28.0,0.6718259817227047,1.0,1.0,0.16747474670410156,3.0,2.0,4018.0,2.0,ok,
40,2,98.0,28.0,0.6718259817227047,1.0,1.0,0.167496919631958,4.0,3.0,3934.0,2.0,ok,
40,3,98.0,28.0,0.6718259817227047,1.0,1.0,0.1724231243133545,5.0,4.0,3942.0,4.0,ok,
40,4,98.0,28.0,0.6718259817227047,0.0,0.0,0.17288899421691895,5.0,5.0,3947.0,3.0,ok,
40,5,98.0,28.0,0.6718259817227047,1.0,1.0,0.17702984809875488,4.0,3.0,4033.0,3.0,ok,
41,1,6.0,49.0,0.09288854875744723,0.724512338074822,0.7036261654249031,4.824241876602173,359.0,1966.0,246.0,1888.0,ok,
